time, CO2 (ppm), TVOC, temp
20:12:32.941, 2108, 937, 421
20:12:33.925, 1906, 594, 422
20:12:34.915, 2407, 1588, 423
20:12:35.945, 22760, 29206, 421
20:12:36.927, 3721, 4397, 420
20:12:37.959, 2566, 1914, 420
20:12:38.940, 2302, 1358, 423
20:12:39.969, 2261, 1267, 420
20:12:40.949, 2193, 1125, 420
20:12:41.978, 11193, 20357, 419
20:12:42.960, 10806, 19510, 420
20:12:43.986, 24563, 29206, 420
20:12:44.968, 15534, 29206, 419
20:12:45.998, 6452, 10218, 419
20:12:46.977, 7588, 12653, 419
20:12:48.006, 8168, 13909, 418
20:12:48.990, 3689, 4320, 419
20:12:50.018, 3338, 3569, 420
20:12:51.004, 5596, 8397, 419
20:12:51.984, 17726, 29206, 419
20:12:53.017, 12508, 23157, 419
20:12:54.001, 13874, 26056, 420
20:12:55.030, 9973, 17741, 420, fire
20:12:56.016, 9973, 17741, 420
20:12:57.046, 7417, 12268, 420
20:12:58.028, 4523, 6097, 422
20:12:59.010, 4284, 5583, 421
20:13:00.042, 3450, 3805, 422
20:13:01.022, 3204, 3279, 426
20:13:02.050, 3174, 3213, 423
20:13:03.032, 3114, 3090, 424
20:13:04.063, 2957, 2750, 426
20:13:05.048, 5104, 7338, 428
20:13:06.084, 4031, 5073, 424
20:13:07.070, 5310, 7784, 424
20:13:08.050, 3467, 3841, 426
20:13:09.083, 2621, 2035, 425
20:13:10.070, 2388, 1546, 426
20:13:11.099, 2355, 1467, 426
20:13:12.081, 5966, 9184, 430
20:13:13.107, 3068, 2992, 428
20:13:14.095, 2136, 998, 432
20:13:15.081, 1953, 667, 430
20:13:16.111, 1895, 579, 433
20:13:17.094, 1842, 504, 434
20:13:18.124, 1801, 451, 434
20:13:19.104, 1742, 382, 435
20:13:20.134, 1708, 347, 437
20:13:20.602, 1699, 337, 439
20:13:21.632, 1665, 304, 438
20:13:22.620, 1672, 311, 441
20:13:23.651, 1598, 243, 443
20:13:24.632, 1562, 216, 442
20:13:25.616, 1562, 216, 445
20:13:26.656, 1595, 240, 446
20:13:27.631, 1544, 203, 443
20:13:28.656, 1551, 207, 442
20:13:29.642, 2261, 1267, 443
20:13:30.677, 4176, 5351, 443
20:13:31.661, 3159, 3187, 446
20:13:32.641, 1878, 552, 444
20:13:33.674, 1582, 230, 443
20:13:34.657, 1665, 304, 443
20:13:35.685, 1888, 568, 446
20:13:36.667, 1906, 594, 444
20:13:37.696, 1514, 181, 445
20:13:38.686, 1482, 164, 442
20:13:39.715, 10471, 18806, 443
20:13:40.709, 6138, 9547, 444
20:13:41.679, 2345, 1452, 443
20:13:42.712, 1833, 492, 442
20:13:43.694, 1775, 422, 445
20:13:44.721, 1660, 298, 441
20:13:45.703, 2038, 815, 441
20:13:46.736, 2664, 2127, 440
20:13:47.720, 1959, 676, 439
20:13:48.704, 2957, 2750, 439
20:13:49.731, 4523, 6097, 439, end
20:13:50.716, 5688, 8612, 438
20:13:51.745, 1928, 626, 439
20:13:52.732, 2700, 2203, 439
20:13:53.763, 4872, 6849, 439
20:13:54.743, 4796, 6689, 438
20:13:55.771, 11379, 20788, 438
20:13:56.754, 6384, 10056, 437
20:13:57.782, 2566, 1914, 437
20:13:58.764, 2136, 998, 436
20:13:59.749, 2060, 840, 437
20:14:00.781, 2006, 757, 437
20:14:01.763, 1959, 676, 436
20:14:02.792, 2770, 2370, 435
20:14:03.774, 1970, 694, 435
20:14:04.803, 1752, 392, 435
20:14:05.785, 1733, 370, 435
20:14:06.815, 1733, 370, 437
20:14:07.797, 2464, 1698, 438
20:14:08.313, 2485, 1743, 435
20:14:09.297, 2100, 922, 434
20:14:10.328, 4619, 6315, 434
20:14:11.312, 2679, 2154, 433
20:14:12.339, 6788, 10949, 436
20:14:13.320, 3793, 4543, 434
20:14:14.353, 3008, 2872, 435
20:14:15.336, 2929, 2697, 434
20:14:16.319, 2929, 2697, 434
20:14:17.348, 3068, 2992, 437
20:14:18.332, 3605, 4144, 433
20:14:19.363, 3141, 3155, 433
20:14:20.349, 3038, 2928, 433
20:14:21.379, 2214, 1174, 433
20:14:22.361, 2336, 1428, 435
20:14:23.344, 2318, 1399, 433
20:14:24.375, 1878, 552, 432
20:14:25.362, 1627, 269, 432
20:14:26.387, 5265, 7695, 432
20:14:27.374, 10302, 18431, 434
20:14:28.403, 5104, 7338, 432
20:14:29.387, 3543, 4011, 431
20:14:30.417, 13874, 26056, 434
20:14:31.401, 9529, 16823, 431
20:14:32.383, 13874, 26056, 430
20:14:33.413, 13578, 25461, 433
20:14:34.394, 6717, 10789, 431
20:14:35.426, 6199, 9691, 431
20:14:36.410, 9668, 17103, 430
20:14:37.414, 10128, 18074, 430
20:14:38.409, 13578, 25461, 430
20:14:39.438, 11606, 21215, 432
20:14:40.424, 9821, 17403, 430
20:14:41.450, 7502, 12451, 429
20:14:42.440, 5543, 8304, 428
20:14:43.462, 4429, 5912, 431
20:14:44.456, 3392, 3693, 430
20:14:45.482, 2781, 2388, 428
20:14:46.451, 2770, 2370, 431
20:14:47.486, 2473, 1718, 427
20:14:48.465, 2416, 1603, 428
20:14:49.446, 2328, 1414, 428
20:14:50.478, 2957, 2750, 427
20:14:51.459, 2492, 1763, 429
20:14:52.616, 2136, 998, 430
20:14:53.471, 2020, 784, 427
20:14:54.501, 9668, 17103, 427
20:14:55.518, 3605, 4144, 431
20:14:55.997, 6318, 9938, 430
20:14:56.977, 2388, 1546, 425
20:14:58.006, 5265, 7695, 427
