temp, CO2(ppm), TVOC, temp
20:16:53.446, 2088, 894, 417
20:16:54.475, 2013, 769, 414
20:16:55.461, 1928, 626, 415
20:16:56.493, 1906, 594, 415
20:16:57.477, 1878, 552, 415
20:16:58.462, 1806, 457, 415
20:16:59.490, 1775, 422, 415
20:17:00.473, 1775, 422, 414
20:17:01.507, 1699, 337, 415
20:17:02.490, 1660, 298, 415
20:17:03.518, 1655, 294, 415
20:17:04.502, 1611, 255, 413
20:17:05.489, 1641, 282, 414
20:17:06.525, 1559, 212, 413
20:17:07.510, 1533, 194, 414
20:17:08.540, 1505, 175, 415
20:17:09.526, 1482, 164, 417
20:17:10.514, 1393, 151, 418
20:17:11.539, 1500, 172, 417
20:17:12.525, 2150, 1027, 415
20:17:13.555, 2842, 2524, 416, fire
20:17:14.540, 4691, 6469, 417
20:17:15.571, 6572, 10487, 417
20:17:16.557, 8752, 15132, 419
20:17:17.540, 7766, 13062, 420
20:17:18.568, 7090, 11586, 421
20:17:19.557, 9668, 17103, 417
20:17:20.584, 5688, 8612, 420
20:17:21.569, 3322, 3535, 422
20:17:22.599, 2397, 1562, 421
20:17:23.067, 2309, 1376, 421
20:17:24.098, 3126, 3116, 420
20:17:25.079, 2502, 1789, 421
20:17:26.111, 4081, 5173, 421
20:17:27.096, 2485, 1743, 422
20:17:28.081, 2328, 1414, 422
20:17:29.116, 4834, 6770, 423
20:17:30.099, 8626, 14853, 423
20:17:31.133, 3580, 4092, 425
20:17:32.118, 2201, 1142, 424
20:17:33.101, 1983, 718, 428
20:17:34.132, 2513, 1804, 424
20:17:35.118, 5265, 7695, 427
20:17:36.151, 2616, 2029, 426
20:17:37.138, 3647, 4227, 427
20:17:38.126, 2914, 2667, 426
20:17:39.161, 8168, 13909, 427
20:17:40.150, 3409, 3728, 427
20:17:41.131, 2492, 1763, 427
20:17:42.157, 3025, 2903, 427
20:17:43.136, 2566, 1914, 428
20:17:44.167, 4872, 6849, 429
20:17:45.156, 3605, 4144, 428
20:17:46.192, 6514, 10352, 426
20:17:47.174, 3506, 3926, 429
20:17:48.204, 3543, 4011, 429
20:17:49.186, 3269, 3433, 428
20:17:50.173, 5402, 7971, 427
20:17:51.204, 3982, 4968, 427
20:17:52.190, 1895, 579, 428
20:17:53.220, 2372, 1506, 429
20:17:54.202, 1817, 471, 432
20:17:55.182, 1683, 322, 429
20:17:56.198, 1641, 282, 430
20:17:57.216, 1606, 249, 430
20:17:58.220, 1660, 298, 432
20:17:59.228, 2521, 1829, 429
20:18:00.228, 5443, 8089, 428
20:18:01.239, 25543, 29206, 430
20:18:02.245, 19947, 29206, 428
20:18:03.229, 7502, 12451, 429
20:18:04.247, 12280, 22658, 426
20:18:05.246, 6717, 10789, 427
20:18:06.251, 6253, 9796, 425
20:18:07.253, 3647, 4227, 430
20:18:08.269, 3055, 2960, 427
20:18:09.268, 2781, 2388, 426
20:18:10.277, 2616, 2029, 426
20:18:10.768, 2502, 1789, 425
20:18:11.755, 2355, 1467, 426
20:18:12.789, 2280, 1310, 429, end
20:18:13.772, 2201, 1142, 429
20:18:14.799, 2230, 1202, 425
20:18:15.789, 2309, 1376, 424
20:18:16.774, 2574, 1935, 426
20:18:17.812, 2038, 815, 425
20:18:18.805, 1959, 676, 425
20:18:19.790, 5265, 7695, 424
20:18:20.828, 9126, 15929, 427
20:18:21.819, 2679, 2154, 425
