time, CO2(ppm), TVOC, temp
20:19:47.673, 17253, 29206, 415
20:19:48.141, 9243, 16195, 415
20:19:49.169, 6318, 9938, 413
20:19:50.161, 8168, 13909, 418
20:19:51.147, 5916, 9062, 415
20:19:52.177, 5966, 9184, 413
20:19:53.159, 10128, 18074, 419
20:19:54.190, 6936, 11246, 414
20:19:55.180, 3285, 3460, 418
20:19:56.166, 13292, 24836, 415
20:19:57.183, 6079, 9420, 415
20:19:58.183, 9529, 16823, 413
20:19:59.197, 5265, 7695, 417, fire
20:20:00.210, 5491, 8191, 413
20:20:01.215, 32768, 29206, 413
20:20:02.233, 20605, 29206, 413
20:20:03.230, 15534, 29206, 416
20:20:04.249, 6199, 9691, 418
20:20:05.260, 7015, 11417, 416
20:20:06.261, 4148, 5291, 414
20:20:07.264, 3560, 4048, 418
20:20:08.262, 3957, 4903, 418
20:20:09.277, 3174, 3213, 419
20:20:10.288, 2901, 2631, 417
20:20:11.290, 3068, 2992, 417
20:20:12.290, 2630, 2066, 418
20:20:13.262, 2914, 2667, 418
20:20:14.303, 2732, 2296, 420
20:20:15.314, 2679, 2154, 419
20:20:16.319, 2328, 1414, 421
20:20:17.333, 2214, 1174, 421
20:20:18.272, 2120, 963, 419
20:20:19.266, 2136, 998, 420
20:20:20.288, 2566, 1914, 423
20:20:21.280, 2066, 850, 421
20:20:22.267, 1934, 637, 422
20:20:23.299, 1913, 603, 420
20:20:24.288, 1934, 637, 422
20:20:25.361, 2074, 870, 421
20:20:26.304, 1863, 535, 425
20:20:27.290, 1796, 445, 423
20:20:28.321, 1752, 392, 422
20:20:29.304, 1953, 667, 424
20:20:30.337, 3225, 3327, 424
20:20:31.328, 5104, 7338, 426
20:20:32.308, 2425, 1623, 425
20:20:33.341, 4404, 5848, 426
20:20:34.324, 2940, 2715, 426
20:20:35.352, 9383, 16502, 427
20:20:36.341, 2328, 1414, 425
20:20:36.860, 2473, 1718, 425
20:20:37.848, 1858, 527, 428
20:20:38.833, 6854, 11090, 425
20:20:39.864, 2616, 2029, 427
20:20:40.853, 2687, 2175, 427
20:20:41.889, 1906, 594, 427
20:20:42.872, 1765, 409, 427
20:20:43.857, 1665, 304, 431
20:20:44.887, 1648, 288, 428
20:20:45.878, 1618, 262, 432
20:20:46.867, 1606, 249, 429
20:20:47.900, 1572, 223, 431
20:20:48.885, 1562, 216, 430
20:20:49.876, 1521, 186, 431
20:20:50.908, 1959, 676, 434
20:20:51.895, 1739, 376, 430
20:20:52.931, 1858, 527, 430
20:20:53.920, 2914, 2667, 430
20:20:54.904, 1551, 207, 430
20:20:55.934, 8400, 14397, 432
20:20:56.920, 6138, 9547, 430
20:20:57.907, 2020, 784, 430
20:20:58.940, 1652, 292, 428
20:20:59.927, 5859, 8958, 428
20:21:00.917, 14525, 27418, 427
20:21:01.956, 6253, 9796, 427, end
20:21:02.947, 12040, 22182, 427
20:21:03.977, 7867, 13272, 428
20:21:04.960, 6318, 9938, 430
20:21:05.945, 7766, 13062, 427
20:21:06.976, 8514, 14642, 427
20:21:07.957, 3881, 4750, 427
20:21:08.993, 5966, 9184, 425
20:21:09.977, 4371, 5785, 426
20:21:10.963, 3392, 3693, 429
20:21:11.996, 2880, 2607, 426
20:21:12.981, 6253, 9796, 426
20:21:14.011, 2687, 2175, 426
20:21:14.996, 2257, 1253, 428
20:21:15.980, 2094, 911, 426
20:21:17.014, 2025, 794, 425
20:21:17.997, 1964, 685, 428
20:21:19.029, 1913, 603, 427
20:21:20.012, 1851, 516, 427
20:21:21.041, 1813, 465, 425
20:21:22.025, 1770, 414, 425
20:21:23.008, 1739, 376, 424
20:21:24.044, 1699, 337, 425
20:21:24.553, 1686, 324, 424
20:21:25.584, 1913, 603, 424
