time, CO2(ppm), TVOC, temp
20:29:46.190, 1676, 314, 417
20:29:47.211, 1680, 319, 415
20:29:48.224, 1694, 332, 417
20:29:49.242, 1723, 360, 416
20:29:50.214, 1578, 227, 416
20:29:51.237, 1594, 239, 417
20:29:52.213, 1694, 332, 416
20:29:53.229, 1735, 372, 417
20:29:54.252, 1774, 418, 416
20:29:55.228, 1659, 297, 416
20:29:56.252, 1564, 218, 415
20:29:57.234, 1568, 220, 415
20:29:58.259, 1659, 297, 415
20:29:59.278, 1691, 330, 415
20:30:00.254, 1665, 304, 415
20:30:01.283, 1521, 186, 415
20:30:02.264, 1093, 105, 414
20:30:03.285, 1093, 105, 413
20:30:04.268, 1065, 101, 417
20:30:05.292, 1128, 110, 415
20:30:06.269, 1053, 99, 415
20:30:07.291, 1738, 377, 413
20:30:08.270, 1709, 348, 415, fire
20:30:09.293, 2232, 1207, 415
20:30:10.315, 1860, 529, 416
20:30:10.829, 2667, 2138, 417
20:30:11.789, 2628, 2061, 421
20:30:12.813, 4957, 7021, 417
20:30:13.834, 1163, 116, 416
20:30:14.807, 679, 42, 418
20:30:15.828, 1345, 143, 420
20:30:16.803, 1777, 424, 423
20:30:17.827, 5792, 8814, 423
20:30:18.856, 4208, 5435, 422
20:30:19.828, 2618, 2039, 427
20:30:20.851, 4180, 5368, 425
20:30:21.831, 3053, 2954, 430
20:30:22.851, 3928, 4854, 428
20:30:23.875, 3630, 4182, 428
20:30:24.851, 3808, 4568, 426
20:30:25.875, 2507, 1799, 427
20:30:26.849, 2255, 1258, 429
20:30:27.868, 1980, 711, 424
20:30:28.895, 1730, 367, 424, end
20:30:29.874, 1559, 214, 427
20:30:30.901, 1559, 214, 426
20:30:31.879, 1338, 142, 426
20:30:32.906, 1113, 108, 422
20:30:33.886, 1041, 97, 427
20:30:34.912, 956, 84, 422
20:30:35.890, 970, 86, 423
20:30:36.915, 956, 84, 423
20:30:37.894, 956, 84, 422
20:30:38.922, 1113, 108, 422
20:30:39.895, 1207, 122, 425
20:30:40.925, 1458, 161, 422
20:30:41.905, 1521, 186, 422
20:30:42.931, 1665, 304, 426
20:30:43.947, 1769, 413, 423
20:30:44.922, 1749, 390, 424
20:30:45.948, 1694, 332, 421
20:30:46.927, 1644, 285, 422
20:30:47.947, 1295, 136, 422
20:30:48.971, 1181, 118, 422
20:30:49.948, 990, 89, 420
20:30:50.972, 885, 73, 424
20:30:51.950, 806, 61, 421
20:30:52.977, 708, 46, 421
20:30:53.953, 699, 45, 420
20:30:54.974, 683, 43, 419
20:30:55.997, 668, 40, 419
20:30:56.976, 668, 40, 419
20:30:57.997, 674, 41, 420
20:30:58.979, 740, 51, 418
20:30:59.487, 740, 51, 420
20:31:00.512, 715, 47, 420
20:31:01.489, 802, 61, 419
20:31:02.513, 1081, 103, 419
20:31:03.494, 1074, 102, 419
20:31:04.520, 933, 81, 417
20:31:05.496, 1053, 99, 418
20:31:06.521, 956, 84, 420
20:31:07.540, 785, 58, 419
20:31:08.518, 708, 46, 417
20:31:09.545, 668, 40, 421
20:31:10.519, 668, 40, 416
20:31:11.541, 699, 45, 418
20:31:12.521, 674, 41, 421
20:31:13.549, 665, 40, 418
20:31:14.525, 683, 43, 418
20:31:15.549, 665, 40, 420
20:31:16.573, 634, 35, 417
20:31:17.548, 607, 31, 419
