temp, CO2(ppm), TVOC, temp
19:33:01.454, 520, 18, 428
19:33:02.489, 533, 20, 430
19:33:03.477, 533, 20, 428
19:33:04.468, 570, 25, 428
19:33:05.501, 542, 21, 429
19:33:06.489, 577, 26, 426
19:33:07.479, 518, 17, 429
19:33:08.509, 495, 14, 426
19:33:09.488, 463, 9, 427
19:33:10.522, 455, 8, 429
19:33:11.511, 446, 7, 427
19:33:12.501, 441, 6, 430
19:33:13.536, 441, 6, 428
19:33:14.519, 450, 7, 427
19:33:15.508, 450, 7, 426
19:33:16.546, 470, 10, 428
19:33:17.533, 495, 14, 427
19:33:18.524, 500, 15, 429
19:33:19.556, 495, 14, 427
19:33:20.537, 533, 20, 427
19:33:21.571, 652, 38, 429
19:33:22.554, 565, 25, 427
19:33:23.538, 518, 17, 428
19:33:24.567, 483, 12, 428
19:33:25.551, 527, 19, 430
19:33:26.579, 657, 39, 427
19:33:27.565, 666, 40, 428
19:33:28.592, 2707, 2230, 427
19:33:29.575, 1964, 685, 426
19:33:30.606, 2084, 890, 431
19:33:31.589, 3114, 3090, 428, fire
19:33:32.571, 1497, 170, 429
19:33:33.607, 629, 34, 426
19:33:34.590, 527, 19, 428
19:33:35.623, 500, 15, 427
19:33:36.604, 495, 14, 428
19:33:37.632, 542, 21, 429
19:33:38.618, 476, 11, 428
19:33:39.608, 455, 8, 427
19:33:40.640, 545, 22, 428
19:33:41.621, 6860, 11104, 429
19:33:42.608, 7325, 12077, 431
19:33:43.125, 8121, 13826, 428
19:33:44.158, 7206, 11822, 429
19:33:45.145, 2949, 2733, 429
19:33:46.126, 1792, 441, 429
19:33:47.160, 1497, 170, 429
19:33:48.146, 1858, 527, 429
19:33:49.175, 2864, 2570, 428
19:33:50.160, 5417, 8022, 428
19:33:51.147, 3030, 2909, 428
19:33:52.178, 1900, 586, 429
19:33:53.163, 1865, 536, 429
19:33:54.195, 1674, 313, 429
19:33:55.179, 1546, 204, 429
19:33:56.164, 1619, 263, 429
19:33:57.193, 1542, 200, 430
19:33:58.178, 1274, 133, 433
19:33:59.215, 1113, 108, 429
19:34:00.207, 1546, 204, 430
19:34:01.191, 1799, 448, 430
19:34:02.226, 2185, 1111, 430
19:34:03.210, 2257, 1253, 429
19:34:04.239, 4886, 6879, 429
19:34:05.220, 2038, 815, 430
19:34:06.208, 1909, 597, 430
19:34:07.238, 1644, 285, 429
19:34:08.223, 1562, 216, 432
19:34:09.250, 1546, 204, 434
19:34:10.235, 1651, 290, 432
19:34:11.266, 1007, 92, 431
19:34:12.251, 746, 52, 430
19:34:13.237, 1083, 104, 431
19:34:14.274, 815, 63, 431
19:34:15.255, 834, 66, 434
19:34:16.240, 1007, 92, 432
19:34:17.271, 940, 82, 432
19:34:18.253, 1095, 105, 432
19:34:19.285, 2001, 748, 430
19:34:20.273, 2485, 1743, 432
19:34:21.303, 3917, 4830, 430
19:34:22.294, 4576, 6230, 432
19:34:23.288, 5865, 8958, 432
19:34:24.274, 10963, 19921, 433
19:34:25.306, 2722, 2268, 432
19:34:26.291, 1938, 645, 433
19:34:27.323, 1815, 469, 433
19:34:28.308, 1909, 597, 432
19:34:28.827, 3138, 3142, 432
19:34:29.813, 2336, 1428, 434
19:34:30.843, 2132, 987, 432
19:34:31.827, 2114, 948, 433
19:34:32.812, 1957, 674, 433
19:34:33.848, 1929, 629, 433
19:34:34.832, 2485, 1743, 434
19:34:35.820, 2349, 1457, 434
19:34:36.850, 2664, 2127, 434
19:34:37.834, 10220, 18262, 435
19:34:38.869, 2968, 2786, 433
19:34:39.856, 2102, 925, 435
19:34:40.837, 1572, 223, 435
19:34:41.864, 1429, 156, 434
19:34:42.851, 1334, 142, 438
19:34:43.883, 1299, 136, 434
19:34:44.870, 2218, 1179, 434
19:34:45.858, 1636, 278, 439
19:34:46.891, 1334, 142, 436
19:34:47.875, 1624, 266, 436
19:34:48.905, 1509, 178, 437
19:34:49.889, 17590, 29206, 435
19:34:50.880, 18309, 29206, 438
