temp, CO2(ppm), TVOC, temp
19:46:14.773, 433, 5, 418
19:46:15.759, 417, 2, 419
19:46:16.739, 407, 1, 418
19:46:17.773, 414, 2, 416
19:46:18.761, 465, 9, 417
19:46:19.746, 427, 4, 418
19:46:20.262, 447, 7, 417
19:46:21.298, 553, 23, 421
19:46:22.287, 542, 21, 418
19:46:23.272, 492, 14, 418
19:46:24.303, 574, 26, 417
19:46:25.290, 679, 42, 418
19:46:26.278, 607, 31, 418
19:46:27.313, 800, 60, 417
19:46:28.297, 819, 63, 416
19:46:29.287, 539, 21, 419
19:46:30.313, 438, 5, 420
19:46:31.298, 433, 5, 419
19:46:32.332, 427, 4, 418
19:46:33.315, 548, 22, 417
19:46:34.341, 567, 25, 416
19:46:35.325, 473, 11, 417
19:46:36.353, 452, 7, 416
19:46:37.336, 427, 4, 418
19:46:38.321, 706, 46, 416
19:46:39.351, 561, 24, 417
19:46:40.336, 452, 7, 416
19:46:41.366, 465, 9, 415
19:46:42.353, 1465, 162, 416
19:46:43.339, 1215, 124, 421, fire
19:46:44.369, 1077, 103, 416
19:46:45.351, 1648, 288, 420
19:46:46.383, 1678, 318, 417
19:46:47.367, 1150, 114, 416
19:46:48.357, 574, 26, 417
19:46:49.389, 481, 12, 417
19:46:50.372, 465, 9, 416
19:46:51.398, 461, 9, 416
19:46:52.384, 561, 24, 420
19:46:53.415, 706, 46, 417
19:46:54.397, 2274, 1295, 421
19:46:55.384, 1539, 198, 418
19:46:56.414, 712, 47, 421
19:46:57.398, 567, 25, 421
19:46:58.428, 561, 24, 418
19:46:59.413, 1012, 93, 420
19:47:00.441, 1747, 387, 421
19:47:01.425, 1918, 612, 421
19:47:02.455, 1661, 300, 422
19:47:03.436, 1445, 159, 421
19:47:04.419, 1856, 524, 419
19:47:05.451, 3595, 4121, 419
19:47:06.440, 2195, 1129, 420
19:47:07.473, 1911, 601, 420
19:47:08.460, 2261, 1272, 421
19:47:08.974, 2004, 756, 420
19:47:09.959, 1668, 306, 422
19:47:10.943, 889, 74, 422
19:47:11.974, 574, 26, 424
19:47:12.963, 838, 66, 422
19:47:14.000, 920, 79, 424
19:47:14.989, 580, 27, 427
19:47:15.975, 3065, 2991, 427
19:47:17.007, 4881, 6859, 426
