Unnamed: 0,UTC,Temperature[C],Humidity[%],TVOC[ppb],eCO2[ppm],Raw H2,Raw Ethanol,Pressure[hPa],PM1.0,PM2.5,NC0.5,NC1.0,NC2.5,CNT,Fire Alarm
44,1654733375,20.631,55.49,0,400,12508,19581,939.762,0.03,0.12,0.03,0.138,0.083,44,0
47,1654733378,20.673,56.11,0,400,12507,19585,939.745,0.02,0.07,0.02,0.078,0.047,47,0
48,1654733379,20.687,56.18,0,400,12514,19594,939.741,0.02,0.06,0.01,0.072,0.043,48,0
49,1654733380,20.701,56.32,0,408,12510,19587,939.722,0.02,0.05,0.01,0.061,0.036,49,0
51,1654733382,20.729,56.47,14,411,12508,19587,939.701,0.01,0.04,0.01,0.047,0.028,51,0
52,1654733383,20.743,56.55,11,404,12512,19596,939.693,0.01,0.04,0.01,0.043,0.026,52,0
53,1654733384,20.756,56.6,11,404,12513,19591,939.707,0.01,0.03,0.01,0.036,0.022,53,0
54,1654733385,20.77,56.66,4,400,12514,19595,939.718,0.01,0.03,0.01,0.033,0.02,54,0
55,1654733386,20.784,56.91,0,400,12535,19628,939.722,0.01,0.02,0.01,0.028,0.017,55,0
56,1654733387,20.798,56.64,0,400,12532,19626,939.721,0.01,0.02,0.01,0.026,0.015,56,0
79,1654733410,21.11,49.55,15,404,12537,19631,939.764,0.03,0.12,0.01,0.136,0.083,79,0
80,1654733411,21.124,49.47,18,405,12534,19631,939.772,0.03,0.1,0.01,0.116,0.071,80,0
81,1654733412,21.137,49.44,6,400,12540,19638,939.777,0.03,0.09,0.01,0.106,0.065,81,0
82,1654733413,21.15,49.39,7,407,12540,19638,939.776,0.02,0.08,0.01,0.09,0.055,82,0
83,1654733414,21.164,49.31,12,420,12533,19630,939.784,0.02,0.07,0.01,0.083,0.051,83,0
84,1654733415,21.177,49.21,15,420,12536,19622,939.787,0.02,0.06,0.01,0.07,0.043,84,0
85,1654733416,21.19,49.07,41,448,12515,19596,939.779,0.02,0.06,0.0,0.064,0.039,85,0
86,1654733417,21.204,49.29,45,453,12516,19609,939.784,0.01,0.05,0.0,0.059,0.036,86,0
87,1654733418,21.217,49.81,54,462,12510,19599,939.787,0.01,0.04,0.0,0.05,0.03,87,0
88,1654733419,21.23,50.45,33,448,12517,19610,939.782,0.01,0.04,0.0,0.046,0.028,88,0
89,1654733420,21.243,51.03,42,439,12519,19608,939.781,0.01,0.03,0.0,0.038,0.023,89,0
90,1654733421,21.257,51.56,34,437,12512,19606,939.775,0.01,0.03,0.0,0.035,0.021,90,0
91,1654733422,21.27,52.04,26,441,12527,19617,939.78,0.01,0.03,0.0,0.029,0.018,91,0
92,1654733423,21.283,52.54,18,422,12525,19619,939.788,0.01,0.02,0.0,0.027,0.016,92,0
93,1654733424,21.296,52.92,35,438,12526,19615,939.791,0.01,0.02,0.0,0.023,0.014,93,0
94,1654733425,21.309,53.32,27,424,12522,19618,939.792,0.0,0.02,0.0,0.021,0.013,94,0
109,1654733440,21.505,56.24,8,402,12537,19631,939.795,0.04,0.13,0.07,0.148,0.085,109,0
110,1654733441,21.518,56.37,6,400,12540,19632,939.8,0.04,0.11,0.06,0.127,0.072,110,0
111,1654733442,21.531,56.42,11,409,12539,19627,939.803,0.03,0.1,0.06,0.117,0.067,111,0
112,1654733443,21.543,56.5,16,408,12536,19628,939.804,0.03,0.09,0.05,0.099,0.057,112,0
113,1654733444,21.556,56.62,13,401,12540,19626,939.809,0.03,0.08,0.05,0.092,0.052,113,0
114,1654733445,21.569,56.69,11,400,12540,19626,939.809,0.02,0.07,0.04,0.078,0.044,114,0
115,1654733446,21.582,56.91,0,400,12565,19664,939.8,0.02,0.06,0.04,0.071,0.041,115,0
116,1654733447,21.595,56.65,0,400,12565,19673,939.807,0.02,0.05,0.03,0.06,0.034,116,0
117,1654733448,21.607,56.13,0,400,12565,19663,939.806,0.02,0.05,0.03,0.055,0.032,117,0
118,1654733449,21.62,55.44,0,402,12566,19669,939.795,0.01,0.04,0.02,0.047,0.027,118,0
119,1654733450,21.633,54.78,0,408,12565,19672,939.799,0.01,0.04,0.02,0.043,0.024,119,0
120,1654733451,21.646,54.24,10,419,12562,19658,939.802,0.01,0.03,0.02,0.036,0.021,120,0
121,1654733452,21.658,53.68,2,415,12558,19654,939.791,0.01,0.03,0.02,0.033,0.019,121,0
122,1654733453,21.671,53.18,2,404,12560,19659,939.792,0.01,0.02,0.01,0.028,0.016,122,0
123,1654733454,21.684,52.75,0,400,12563,19658,939.798,0.01,0.02,0.01,0.025,0.015,123,0
124,1654733455,21.696,52.37,6,408,12562,19648,939.798,0.01,0.02,0.01,0.021,0.012,124,0
125,1654733456,21.709,52.01,2,413,12567,19661,939.804,0.01,0.02,0.01,0.02,0.011,125,0
126,1654733457,21.722,51.72,10,415,12557,19654,939.802,0.0,0.01,0.01,0.016,0.009,126,0
127,1654733458,21.734,51.45,7,413,12558,19659,939.803,0.0,0.01,0.01,0.015,0.009,127,0
128,1654733459,21.747,51.18,2,413,12565,19665,939.805,0.0,0.01,0.01,0.014,0.008,128,0
129,1654733460,21.76,51.01,9,417,12563,19662,939.8,0.0,0.01,0.01,0.011,0.006,129,0
